X1,X2,X3,X4
267.06,42.61,23.71,108.50
19.93,32.78,68.54,99.63
97.97,29.38,23.37,21.18
38.40,53.75,25.04,85.10
46.45,31.32,78.96,38.79
22.41,36.64,38.84,34.11
127.64,38.80,47.62,22.08
35.10,25.92,87.67,40.71
46.25,37.87,78.87,91.97
19.81,55.69,67.68,100.01
87.08,45.05,70.46,85.27
80.50,44.65,32.25,30.52
210.02,29.98,23.23,92.89
18.85,52.34,70.01,97.78
201.28,47.56,83.97,28.34
18.40,53.09,42.00,29.64
19.27,24.39,57.89,96.88
29.27,39.69,47.40,101.63
69.48,46.88,76.02,29.65
62.69,37.30,34.35,100.30
23.20,42.02,89.58,36.94
50.44,30.13,42.38,39.71
62.53,27.77,89.76,105.60
114.46,39.09,84.91,92.09
118.08,68.76,49.89,86.49
15.80,51.07,35.85,80.03
14.74,44.27,48.07,33.65
33.99,60.52,44.42,29.71
41.14,24.60,46.27,97.43
39.77,43.52,71.31,38.37
93.48,71.17,51.38,83.76
23.91,38.94,63.30,31.04
26.80,44.84,76.40,27.50
153.41,55.65,57.49,93.77
84.72,42.15,22.75,91.64
112.19,22.07,87.25,21.77
138.94,47.57,58.90,86.51
140.06,28.31,41.44,96.12
54.37,46.69,32.43,31.39
84.01,44.64,83.95,90.72
23.58,44.75,49.77,22.84
76.80,49.22,69.98,92.60
133.60,46.67,83.32,98.10
30.42,33.39,23.15,97.13
20.82,72.57,83.02,19.23
46.42,43.06,89.93,94.05
15.07,39.27,69.17,19.02
71.80,47.76,38.51,30.97
49.06,30.07,54.19,92.72
22.16,31.36,44.67,79.38
27.57,45.18,46.04,98.29
40.55,31.57,30.93,41.53
37.53,55.62,84.38,25.42
75.49,37.23,64.85,87.86
53.54,56.97,82.64,28.04
32.68,38.24,83.76,36.54
65.44,44.74,38.02,35.95
181.03,41.82,21.74,39.00
101.92,37.50,68.98,99.95
44.96,56.58,50.85,86.00
47.34,40.64,69.71,91.72
19.92,56.43,24.26,91.43
52.88,45.16,37.42,100.20
29.22,39.43,81.74,86.45
90.63,29.95,55.73,32.68
31.17,46.06,26.94,90.96
53.53,43.25,36.61,79.62
40.24,40.03,50.23,44.62
117.61,31.29,84.32,34.21
93.43,41.31,86.16,39.37
35.31,52.24,27.25,94.61
52.33,40.00,28.72,97.49
37.76,42.55,40.69,93.06
23.70,53.73,49.62,100.36
133.01,45.72,90.05,30.28
15.13,52.79,88.71,43.71
27.94,33.89,34.50,17.59
82.61,51.76,66.45,93.04
28.71,28.13,59.95,100.23
43.04,46.05,73.39,93.21
52.06,51.88,58.66,97.26
43.78,53.47,66.11,36.43
30.20,49.87,84.94,24.17
45.54,50.63,40.86,38.63
110.74,46.69,57.01,98.40
54.10,20.68,61.36,27.61
24.45,31.65,32.83,98.56
18.46,37.69,68.71,22.06
29.75,38.61,64.87,83.99
94.48,42.99,59.00,24.70
15.21,55.20,58.13,46.38
34.70,33.14,60.82,96.84
61.87,37.26,88.97,92.86
74.18,28.27,56.62,21.12
22.64,48.51,63.01,27.79
287.91,56.13,71.55,93.84
59.93,45.34,54.55,104.41
354.42,43.19,58.81,106.83
69.12,59.59,66.81,30.07
66.14,45.00,44.22,103.56
17.11,50.34,75.71,31.47
